Energy_Wh,raw_voltage_mean,isotonic_voltage
119.8951,31.168,31.167999999999996
120.1197,31.158,31.158
120.3437,31.158,31.158
120.5718,31.138,31.143
120.7996,31.138,31.143
121.0239,31.148,31.143
121.2483,31.138,31.143
121.472,31.138,31.143
121.696,31.158,31.143
121.9241,31.138,31.141333333333336
122.1519,31.138,31.141333333333336
122.3762,31.148,31.141333333333336
122.6006,31.138,31.138
122.8242,31.138,31.138
123.0525,31.128,31.128
123.2764,31.128,31.128
123.5005,31.128,31.128
123.7245,31.118,31.123
123.9485,31.118,31.123
124.1726,31.118,31.123
124.4009,31.128,31.123
124.6247,31.128,31.123
124.8488,31.128,31.123
125.0728,31.118,31.118
125.2969,31.118,31.118
125.5209,31.118,31.118
125.7446,31.108,31.108
125.9677,31.108,31.108
126.1913,31.098,31.098000000000003
126.4146,31.098,31.098000000000003
126.6423,31.078,31.098000000000003
126.866,31.108,31.098000000000003
127.0891,31.108,31.098000000000003
127.3127,31.098,31.098
127.536,31.098,31.098
127.7637,31.078,31.084666666666667
127.9872,31.088,31.084666666666667
128.2107,31.088,31.084666666666667
128.4378,31.068,31.079666666666668
128.6609,31.078,31.079666666666668
128.8841,31.078,31.079666666666668
129.107,31.078,31.079666666666668
129.3306,31.088,31.079666666666668
129.5541,31.088,31.079666666666668
129.7811,31.068,31.075499999999998
130.0043,31.078,31.075499999999998
130.2275,31.078,31.075499999999998
130.4504,31.078,31.075499999999998
130.6745,31.058,31.058
130.8992,31.058,31.058
131.1236,31.047,31.0514
131.3474,31.047,31.0514
131.5712,31.047,31.0514
131.7954,31.058,31.0514
132.0201,31.058,31.0514
132.2444,31.047,31.047
132.4682,31.047,31.047
132.692,31.047,31.047
132.916,31.037,31.037
133.1403,31.037,31.037
133.3642,31.027,31.027
133.5882,31.027,31.027
133.8115,31.027,31.027
134.039,31.007,31.027
134.263,31.037,31.027
134.4873,31.037,31.027
134.7112,31.027,31.027
134.9351,31.027,31.027
135.1585,31.027,31.027
135.3859,31.007,31.012
135.6095,31.017,31.012
135.8368,30.997,31.000999999999998
136.0639,30.997,31.000999999999998
136.2872,31.007,31.000999999999998
136.5144,30.987,31.000999999999998
136.738,31.017,31.000999999999998
136.9654,30.997,31.000333333333334
137.1924,30.997,31.000333333333334
137.4157,31.007,31.000333333333334
137.643,30.987,30.991999999999997
137.8667,30.997,30.991999999999997
138.0939,30.977,30.983666666666664
