Energy_Wh,TOTAL_BATTERY_VOLTAGE,Discharged_Ah
78.82854,31.52,2.4575494815234604
79.05631,31.52,2.4647756871072164
79.28338,31.54,2.471977399761831
79.51045,31.54,2.4791768290579634
79.74165,31.52,2.4865095280747727
79.96864,31.53,2.493709845283337
80.19557,31.52,2.5009082592405143
80.42335,31.52,2.508134782083154
80.65438,31.499,2.5154668565368903
80.88123,31.509,2.522667529467312
81.10836,31.509,2.529875946110176
81.33513,31.499,2.5370740796805165
81.56212,31.489,2.5442814842655164
81.79315,31.499,2.5516171672527523
82.02,31.509,2.558817840183174
82.24713,31.509,2.566026256826038
82.4739,31.499,2.5732243903963785
82.70089,31.489,2.580431794981379
82.92759,31.489,2.5876311344332508
83.154,31.489,2.594821264319878
83.38035,31.479,2.602010630347067
83.60698,31.479,2.6092100331235204
83.83382,31.469,2.61641725178019
84.06038,31.469,2.6236167179214713
84.28708,31.489,2.6308183444026176
84.51349,31.489,2.638008474289245
84.73984,31.479,2.6451978403164333
84.96647,31.479,2.6523972430928877
85.19331,31.469,2.6596044617495567
85.41987,31.469,2.6668039278908386
85.64606,31.459,2.673992778640902
85.87226,31.459,2.681183089839605
86.10229,31.439,2.6884974718549315
86.3326,31.439,2.6958230865373323
86.55866,31.439,2.70301351880299
86.78485,31.459,2.710205798366728
87.01105,31.459,2.717396109565431
87.24108,31.439,2.7247104915807574
87.47139,31.439,2.732036106263158
87.69745,31.439,2.7392265385288157
87.92322,31.439,2.746407746582507
88.14871,31.439,2.7535800485005066
88.37498,31.429,2.7607783051652643
88.60096,31.429,2.7679684798447006
88.8266,31.419,2.775148978826371
89.05223,31.419,2.782330302229407
89.278,31.439,2.789513795181776
89.50349,31.439,2.7966860970997756
89.72976,31.429,2.8038843537645333
89.95575,31.429,2.8110748466214486
90.18138,31.419,2.818255027375013
90.40701,31.419,2.825436350778049
90.63264,31.419,2.832617674181085
90.85848,31.409,2.8398068255148856
91.08404,31.409,2.846988206647682
91.30924,31.399,2.854159267659018
91.53501,31.399,2.8613496240397946
91.76064,31.419,2.868533233833166
91.98648,31.409,2.8757223851669664
92.21204,31.409,2.882903766299763
92.43724,31.399,2.890074827311099
92.66301,31.399,2.8972651836918755
92.88843,31.389,2.9044455366255573
93.11355,31.389,2.911617475839932
93.33897,31.389,2.9187989725425987
93.56849,31.369,2.9261134185096465
93.79354,31.379,2.9332865555020606
94.0186,31.379,2.9404588681952637
94.24402,31.389,2.9476415090313584
94.46915,31.389,2.954813766828676
94.69456,31.389,2.9619949449483993
94.92408,31.369,2.9693093909154475
95.14914,31.379,2.97648284664312
95.37419,31.379,2.9836548406518517
95.5989,31.369,2.990817140645477
95.82361,31.369,2.9979805822598093
96.04824,31.359,3.0051426151637757
96.27288,31.359,3.012306108897632
96.49779,31.359,3.019478212599918
96.7225,31.369,3.026642796198949
96.94721,31.369,3.0338062378132813
97.17184,31.359,3.0409682707172476
97.39647,31.359,3.048131445563384
97.62139,31.359,3.0553038681533904
97.84623,31.349,3.062474883015928
98.07411,31.339,3.0697451739807056
98.30277,31.329,3.077042678289124
98.52754,31.339,3.0842160363027835
98.75203,31.339,3.0913793152842444
98.97645,31.329,3.0985415033227968
99.20129,31.349,3.105715950497244
99.42917,31.339,3.1129862414620217
99.65783,31.329,3.1202837457704407
99.8826,31.339,3.1274571037840997
100.1071,31.339,3.1346207018567886
100.3315,31.329,3.1417822516110494
100.5556,31.329,3.1489353685314745
100.78,31.319,3.1560992045677407
101.0079,31.309,3.1633770994390447
101.2323,31.319,3.170543223217546
101.4563,31.309,3.1776965731568705
101.6804,31.329,3.184851974031739
101.9048,31.319,3.1920158100680047
102.1327,31.309,3.1992937049393086
102.3571,31.319,3.2064598287178105
102.581,31.309,3.2136099851973405
102.805,31.309,3.2207644775158433
103.0293,31.309,3.227928551743701
103.2571,31.289,3.2352067395452275
103.481,31.299,3.2423614656908146
103.7063,31.289,3.2495609288466913
103.9313,31.289,3.2567519544467425
104.1553,31.309,3.263908732618569
104.3795,31.309,3.2710696128766417
104.6073,31.289,3.2783478006781688
104.8313,31.299,3.285505722324491
105.0565,31.289,3.2927019899796326
105.2815,31.289,3.2998930155796837
105.5103,31.268,3.3072079443646323
105.739,31.268,3.3145221313929043
105.9637,31.278,3.3217072431506507
106.1882,31.268,3.3288859596153326
106.4169,31.258,3.3362013164268993
106.6457,31.268,3.3435198719078194
106.8745,31.268,3.3508372570939517
107.0991,31.278,3.358019171205166
107.3236,31.268,3.365197887669848
107.5523,31.258,3.3725132444814148
107.7769,31.268,3.3796974558494854
108.0016,31.258,3.38688486588691
108.2261,31.258,3.3940670272536004
108.4509,31.258,3.4012587861633197
108.6747,31.248,3.4084196987157145
108.8988,31.248,3.4155913577018895
109.1234,31.268,3.4227767182495894
109.3481,31.258,3.429964128287014
109.5726,31.258,3.437146289653704
109.7974,31.258,3.444338048563423
110.0212,31.248,3.451498961115818
110.2453,31.248,3.4586706201019934
